,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16
0,1,153,0.0,1,0,12,7,1.25,1,1,1,0,0,68,0,0
1,0,321,4.46,1,0,10,3,3.04,1,1,6,0,0,11,560,0
2,0,88,0.5,1,0,10,3,1.5,1,0,0,0,0,94,824,0
3,1,123,1.54,1,0,12,7,3.75,1,1,5,1,0,31,3,0
4,1,42,5.625,1,0,12,7,1.71,1,0,0,0,2,37,0,0
5,1,165,4.0,1,0,9,7,2.5,1,0,0,1,0,113,0,0
6,1,176,1.04,1,0,11,3,6.5,1,0,0,1,0,54,31285,0
7,0,73,11.585,1,0,2,7,0.04,1,0,0,0,0,23,1349,0
8,1,303,0.5,2,2,8,3,3.96,1,0,0,0,0,62,314,0
9,1,249,4.915,2,2,12,7,3.165,1,0,0,1,0,15,1442,0
10,1,63,0.83,1,0,1,3,2.165,0,0,0,1,0,39,0,0
11,1,142,1.835,1,0,1,3,4.335,1,0,0,0,0,89,200,0
12,0,215,6.0,1,0,8,7,1.0,1,0,0,1,0,0,0,0
13,1,275,6.04,1,0,8,7,0.04,0,0,0,0,0,0,2690,0
14,0,263,10.5,1,0,10,7,5.0,1,1,7,1,0,0,0,0
15,1,207,4.415,2,2,8,7,0.25,1,1,10,1,0,103,0,0
16,1,127,0.875,1,0,9,7,0.96,1,1,3,1,0,124,0,0
17,0,77,5.875,1,0,10,7,3.17,1,1,10,0,0,37,245,0
18,1,60,0.25,1,0,3,3,0.665,1,0,0,1,0,0,0,0
19,0,33,8.585,1,0,2,3,0.75,1,1,7,0,0,29,0,0
20,1,93,11.25,1,0,1,7,2.5,1,1,17,0,0,67,1208,0
21,1,77,1.0,1,0,1,7,0.835,1,0,0,0,2,98,0,0
22,0,273,8.0,1,0,1,7,7.875,1,1,6,1,0,0,1260,0
23,0,119,14.5,1,0,13,3,3.085,1,1,1,0,0,37,11,0
24,0,239,6.5,1,0,10,7,0.5,1,1,3,1,0,47,0,0
25,0,3,0.585,1,0,1,3,1.5,1,1,2,0,0,31,0,0
26,0,267,13.0,1,0,6,0,5.165,1,1,9,1,0,0,0,0
27,1,311,18.5,1,0,3,0,15.0,1,1,17,1,0,0,0,0
